# index, node_type, node_subtype, name, _pos
346,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR4,"array([ 1.73927113, -4.38610063])"
347,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR5,"array([ 1.75943735, -4.42808815])"
348,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR6,"array([ 1.81257375, -4.40493874])"
349,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR7,"array([ 1.94035587, -4.35826819])"
350,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML8,"array([ 2.01896148, -4.32072706])"
351,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML9,"array([ 2.03049925, -4.35166936])"
352,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML10,"array([ 2.04541725, -4.36105098])"
353,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML11,"array([ 2.04337352, -4.3861336 ])"
354,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML12,"array([ 2.0595172 , -4.39842793])"
355,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML13,"array([ 2.04647875, -4.40999555])"
356,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML14,"array([ 2.06047806, -4.42404989])"
357,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML15,"array([ 2.07826514, -4.43158403])"
358,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML16,"array([ 2.08034024, -4.46213329])"
359,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML17,"array([ 2.1650199 , -4.55146799])"
360,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML18,"array([ 2.17277239, -4.60019662])"
361,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML19,"array([ 2.11091677, -4.64536352])"
362,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML20,"array([ 2.09978105, -4.69648429])"
363,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML21,"array([ 2.06567641, -4.70251267])"
364,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML22,"array([ 2.02224728, -4.75105965])"
365,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML23,"array([ 2.04930418, -4.76790122])"
366,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWML24,"array([ 1.99430407, -4.78668738])"
367,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR8,"array([ 2.04964058, -4.3276413 ])"
368,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR9,"array([ 2.06675011, -4.35363851])"
369,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR10,"array([ 2.06448453, -4.37624615])"
370,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR11,"array([ 2.08680306, -4.38728299])"
371,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR12,"array([ 2.07926463, -4.40684023])"
372,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR13,"array([ 2.0970424 , -4.41740368])"
373,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR14,"array([ 2.10860696, -4.4337278 ])"
374,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR15,"array([ 2.09914502, -4.44868495])"
375,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR16,"array([ 2.10090233, -4.47204667])"
376,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR17,"array([ 2.18103352, -4.57383363])"
377,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR18,"array([ 2.15474739, -4.57944888])"
378,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR19,"array([ 2.1191444 , -4.62465488])"
379,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR20,"array([ 2.12747569, -4.69701654])"
380,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR21,"array([ 2.08056245, -4.68757287])"
381,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR22,"array([ 1.99823038, -4.7333061 ])"
382,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR23,"array([ 1.99434515, -4.75786144])"
383,BODYWALL MUSCLES,BODY MOTOR NEURONS,dBWMR24,"array([ 2.02325461, -4.78211268])"
384,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML8,"array([ 2.02552477, -4.3841835 ])"
385,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML9,"array([ 1.97749052, -4.43237846])"
386,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML10,"array([ 1.97994704, -4.48900718])"
387,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML11,"array([ 1.96626731, -4.50271472])"
388,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML12,"array([ 2.01932293, -4.51250072])"
389,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML13,"array([ 2.03510541, -4.50525991])"
390,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML14,"array([ 2.06226915, -4.48535449])"
391,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML15,"array([ 1.99904778, -4.55894947])"
392,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML16,"array([ 1.98152404, -4.55051503])"
393,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML17,"array([ 2.14113094, -4.6406884 ])"
394,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML18,"array([ 2.11241101, -4.67222615])"
395,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML19,"array([ 2.03151782, -4.7177254 ])"
396,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML20,"array([ 2.01803096, -4.70032223])"
397,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML21,"array([ 1.9581911 , -4.72463853])"
398,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML22,"array([ 1.89621944, -4.71301946])"
399,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWML23,"array([ 1.89722595, -4.76565544])"
400,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR8,"array([ 1.96070407, -4.4442679 ])"
401,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR9,"array([ 1.96044625, -4.48416397])"
402,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR10,"array([ 1.94064582, -4.54417872])"
403,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR11,"array([ 1.96680819, -4.52427936])"
404,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR12,"array([ 2.00405435, -4.48573265])"
405,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR13,"array([ 2.00506846, -4.50196738])"
406,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR14,"array([ 2.00471248, -4.54534726])"
407,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR15,"array([ 2.00648244, -4.52975873])"
408,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR16,"array([ 1.98314097, -4.56779569])"
409,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR17,"array([ 2.14962847, -4.62038416])"
410,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR18,"array([ 2.13499445, -4.66355325])"
411,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR19,"array([ 2.10257996, -4.72954123])"
412,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR20,"array([ 1.99620296, -4.66775945])"
413,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR21,"array([ 1.99777919, -4.70566651])"
414,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR22,"array([ 1.90587283, -4.68709545])"
415,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR23,"array([ 1.93078774, -4.74848663])"
416,BODYWALL MUSCLES,BODY MOTOR NEURONS,vBWMR24,"array([ 1.9309833 , -4.79562431])"
417,OTHER END ORGANS,BODY MOTOR NEURONS,CEPshDL,"array([ 1.70470199, -4.59468481])"
418,OTHER END ORGANS,BODY MOTOR NEURONS,CEPshDR,"array([ 1.82514567, -4.21644858])"
419,OTHER END ORGANS,BODY MOTOR NEURONS,CEPshVL,"array([ 1.72807054, -4.42780661])"
420,OTHER END ORGANS,BODY MOTOR NEURONS,CEPshVR,"array([ 1.72208795, -4.45933754])"
421,OTHER END ORGANS,BODY MOTOR NEURONS,GLRDL,"array([ 1.94433056, -3.3792084 ])"
422,OTHER END ORGANS,BODY MOTOR NEURONS,GLRDR,"array([ 1.84705459, -4.16613402])"
423,OTHER END ORGANS,BODY MOTOR NEURONS,GLRL,"array([ 2.17771894, -3.42647397])"
424,OTHER END ORGANS,BODY MOTOR NEURONS,GLRR,"array([ 1.70764034, -4.17680393])"
425,OTHER END ORGANS,BODY MOTOR NEURONS,GLRVL,"array([ 1.90830643, -4.20789989])"
426,OTHER END ORGANS,BODY MOTOR NEURONS,GLRVR,"array([ 1.95474877, -4.18646516])"
427,OTHER END ORGANS,BODY MOTOR NEURONS,CANL,"array([ 1.67358497, -4.6619337 ])"
428,OTHER END ORGANS,BODY MOTOR NEURONS,CANR,"array([ 1.69770638, -4.69522229])"
429,OTHER END ORGANS,BODY MOTOR NEURONS,exc_cell,"array([ 1.72967129, -4.72271363])"
430,OTHER END ORGANS,BODY MOTOR NEURONS,exc_gl,"array([ 1.98567577, -4.28739691])"
431,OTHER END ORGANS,BODY MOTOR NEURONS,hyp,"array([ 1.89764815, -4.52077081])"
432,OTHER END ORGANS,BODY MOTOR NEURONS,int,"array([ 1.85307013, -4.6917781 ])"
433,OTHER END ORGANS,BODY MOTOR NEURONS,mu_intL,"array([ 1.84293918, -4.82089282])"
434,OTHER END ORGANS,BODY MOTOR NEURONS,mu_intR,"array([ 1.80118879, -4.79956839])"
435,OTHER END ORGANS,BODY MOTOR NEURONS,mu_anal,"array([ 2.37623348, -3.50995581])"
436,OTHER END ORGANS,BODY MOTOR NEURONS,mu_sph,"array([ 2.7076562 , -3.78565136])"
437,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,HSNL,"array([ 1.84515055, -4.56403897])"
438,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,HSNR,"array([ 1.8946958 , -4.53865849])"
439,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,VC01,"array([ 1.98353617, -4.51602737])"
440,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,VC02,"array([ 1.98670679, -4.50319263])"
441,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,VC03,"array([ 1.98767936, -4.53273915])"
442,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,VC04,"array([ 1.86261698, -4.63156185])"
443,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,VC05,"array([ 1.85433012, -4.6089906 ])"
444,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,VC06,"array([ 2.02829341, -4.64065298])"
445,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm2AL,"array([ 1.81929786, -4.6816803 ])"
446,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm2AR,"array([ 1.81168452, -4.65579442])"
447,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm1AL,"array([ 2.55224872, -3.628633  ])"
448,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm1AR,"array([ 2.19438742, -4.53606899])"
449,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm1PL,"array([ 2.93004876, -4.27292913])"
450,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm1PR,"array([ 2.8382619 , -3.99083829])"
451,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm2PL,"array([ 1.77651727, -4.64385709])"
452,SEX-SPECIFIC CELLS,BODY MOTOR NEURONS,vm2PR,"array([ 1.79010321, -4.66877999])"
