Iterasyon,0_PSO_Klasik,Fly_Kör_Yok_Sabit,Fly_Kör_Yok_Yorulan,Fly_Kör_Yan_Lob_Sabit,Fly_Kör_Yan_Lob_Yorulan,Fly_Kör_Ana_Lob_Sabit,Fly_Kör_Ana_Lob_Yorulan,Fly_Anlık_Yok_Sabit,Fly_Anlık_Yok_Yorulan,Fly_Anlık_Yan_Lob_Sabit,Fly_Anlık_Yan_Lob_Yorulan,Fly_Anlık_Ana_Lob_Sabit,Fly_Anlık_Ana_Lob_Yorulan,Fly_Hafızalı_Yok_Sabit,Fly_Hafızalı_Yok_Yorulan,Fly_Hafızalı_Yan_Lob_Sabit,Fly_Hafızalı_Yan_Lob_Yorulan,Fly_Hafızalı_Ana_Lob_Sabit,Fly_Hafızalı_Ana_Lob_Yorulan
1,1.59423828125,1.0392417907714844,2.8168182373046875,1.832427978515625,2.863666534423828,2.3613719940185547,2.210660934448242,2.140239715576172,1.5760612487792969,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,3.519105911254883,1.301605224609375,1.132232666015625,3.297628402709961,0.46325111389160156,1.74560546875
2,1.2793655395507812,1.0392417907714844,2.8168182373046875,1.832427978515625,2.794036865234375,2.3613719940185547,2.210660934448242,1.9952239990234375,1.1085929870605469,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,3.519105911254883,1.301605224609375,1.132232666015625,3.297628402709961,0.46325111389160156,1.74560546875
3,0.085906982421875,1.0392417907714844,2.8168182373046875,1.832427978515625,2.5297985076904297,2.3613719940185547,2.210660934448242,1.9952239990234375,1.1085929870605469,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,3.0790767669677734,1.301605224609375,1.0703067779541016,3.297628402709961,0.46325111389160156,1.74560546875
4,0.085906982421875,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.9952239990234375,1.1085929870605469,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,2.3944225311279297,1.301605224609375,1.0516033172607422,3.297628402709961,0.46325111389160156,1.74560546875
5,0.0450439453125,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.9952239990234375,0.8132457733154297,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,2.3944225311279297,1.301605224609375,1.0516033172607422,3.297628402709961,0.46325111389160156,1.74560546875
6,0.0450439453125,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.9952239990234375,0.06015205383300781,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,2.055685043334961,1.301605224609375,1.0516033172607422,3.297628402709961,0.11263656616210938,1.74560546875
7,0.00145721435546875,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.7158088684082031,0.052227020263671875,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,1.7817039489746094,0.47400665283203125,1.0516033172607422,3.297628402709961,0.091064453125,1.74560546875
8,0.00145721435546875,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.2129192352294922,0.052227020263671875,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,1.1087608337402344,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
9,0.00145721435546875,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.0019454956054688,0.052227020263671875,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,1.1087608337402344,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
10,0.00145721435546875,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,2.210660934448242,1.0019454956054688,0.052227020263671875,0.084228515625,1.1523094177246094,2.3689727783203125,1.1209983825683594,1.1022815704345703,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
