Arazi,Algoritma,Final_Hata
Beale,0_PSO_Klasik,0.0
Beale,Fly_Kör_Yok_Sabit,0.018934279680252075
Beale,Fly_Kör_Yok_Yorulan,0.002817234257236123
Beale,Fly_Kör_Yan_Lob_Sabit,0.0020020848605781794
Beale,Fly_Kör_Yan_Lob_Yorulan,0.00338285556063056
Beale,Fly_Kör_Ana_Lob_Sabit,0.001036560395732522
Beale,Fly_Kör_Ana_Lob_Yorulan,8.994773088488728e-05
Beale,Fly_Anlık_Yok_Sabit,0.004758520517498255
Beale,Fly_Anlık_Yok_Yorulan,0.09254448115825653
Beale,Fly_Anlık_Yan_Lob_Sabit,0.02228458598256111
Beale,Fly_Anlık_Yan_Lob_Yorulan,0.06582179665565491
Beale,Fly_Anlık_Ana_Lob_Sabit,3.8093476177891716e-06
Beale,Fly_Anlık_Ana_Lob_Yorulan,2.8616112103918567e-05
Beale,Fly_Hafızalı_Yok_Sabit,0.053194429725408554
Beale,Fly_Hafızalı_Yok_Yorulan,0.05705871060490608
Beale,Fly_Hafızalı_Yan_Lob_Sabit,0.1672581434249878
Beale,Fly_Hafızalı_Yan_Lob_Yorulan,0.01267293281853199
Beale,Fly_Hafızalı_Ana_Lob_Sabit,5.852248796145432e-05
Beale,Fly_Hafızalı_Ana_Lob_Yorulan,7.4046101872227155e-06
