Iterasyon,PSO_Sphere,Fly_Sphere,PSO_Rastrigin,Fly_Rastrigin
1,0.0003057601861655712,0.010536981746554375,0.0070343017578125,1.015350341796875
2,0.0003057601861655712,0.010536981746554375,0.0070343017578125,1.015350341796875
3,0.0003057601861655712,0.010536981746554375,0.0070343017578125,1.015350341796875
4,6.68075299472548e-05,0.010536981746554375,9.5367431640625e-05,1.015350341796875
5,3.319020106573589e-05,0.010536981746554375,9.5367431640625e-05,1.015350341796875
6,3.181066858815029e-05,0.010536981746554375,9.5367431640625e-05,1.015350341796875
7,1.4656046914751641e-05,0.010536981746554375,9.5367431640625e-05,1.015350341796875
8,1.4656046914751641e-05,0.010536981746554375,9.5367431640625e-05,1.015350341796875
9,7.794109478709288e-06,0.010536981746554375,9.5367431640625e-05,1.015350341796875
10,7.751584121251653e-07,0.010536981746554375,9.5367431640625e-05,1.015350341796875
11,2.3893593947832414e-07,0.010536981746554375,7.2479248046875e-05,1.015350341796875
12,2.3893593947832414e-07,0.010536981746554375,7.2479248046875e-05,1.0058155059814453
13,1.4477542720214842e-07,0.010536981746554375,7.2479248046875e-05,1.0058155059814453
14,1.4477542720214842e-07,0.010536981746554375,4.9591064453125e-05,1.0058155059814453
15,1.4477542720214842e-07,0.010536981746554375,7.62939453125e-06,1.0058155059814453
16,1.2742846777769046e-08,0.010536981746554375,5.7220458984375e-06,1.0058155059814453
17,1.2742846777769046e-08,0.010536981746554375,5.7220458984375e-06,1.0058155059814453
18,1.1650381104288954e-08,0.010536981746554375,1.9073486328125e-06,1.0058155059814453
19,1.1650381104288954e-08,0.010536981746554375,0.0,1.0058155059814453
20,1.1650381104288954e-08,0.010536981746554375,0.0,1.0058155059814453
21,8.502520909559053e-10,0.010536981746554375,0.0,1.0058155059814453
22,8.502520909559053e-10,0.010536981746554375,0.0,1.0058155059814453
23,8.502520909559053e-10,0.010536981746554375,0.0,1.0058155059814453
24,8.502520909559053e-10,0.010536981746554375,0.0,1.0058155059814453
25,8.502520909559053e-10,0.010536981746554375,0.0,1.0058155059814453
26,8.502520909559053e-10,0.010536981746554375,0.0,1.0058155059814453
27,1.9482933322212403e-10,0.010536981746554375,0.0,1.0058155059814453
28,1.9482933322212403e-10,0.010536981746554375,0.0,1.0058155059814453
29,4.906570982843306e-11,0.010536981746554375,0.0,1.0058155059814453
30,4.906570982843306e-11,0.010536981746554375,0.0,1.0058155059814453
31,1.3915189313318255e-11,0.010536981746554375,0.0,1.0058155059814453
32,1.1200240387920779e-11,0.010536981746554375,0.0,1.0058155059814453
33,1.1200240387920779e-11,0.010536981746554375,0.0,1.0058155059814453
34,3.042570752634366e-12,0.010536981746554375,0.0,1.0058155059814453
35,1.2937265191428904e-12,0.010536981746554375,0.0,1.0058155059814453
