Iterasyon,PSO_Sphere,Fly_Sphere,PSO_Rastrigin,Fly_Rastrigin
1,0.0010896242456510663,0.0001948548451764509,0.7101764678955078,0.14776992797851562
2,0.0006560302572324872,0.0001948548451764509,0.7101764678955078,0.14776992797851562
3,0.0006560302572324872,0.0001948548451764509,0.0242767333984375,0.14776992797851562
4,0.00018625304801389575,0.0001948548451764509,0.0242767333984375,0.14776992797851562
5,0.00018625304801389575,0.0001948548451764509,0.0242767333984375,0.14776992797851562
6,1.0142868632101454e-05,0.00015903075109235942,0.0242767333984375,0.14776992797851562
7,1.0142868632101454e-05,0.00015903075109235942,0.014593124389648438,0.14776992797851562
8,1.0142868632101454e-05,0.00015903075109235942,0.014593124389648438,0.14776992797851562
9,1.0142868632101454e-05,0.00015903075109235942,0.014593124389648438,0.14776992797851562
10,1.0142868632101454e-05,0.00015903075109235942,0.014593124389648438,0.14776992797851562
11,1.0142868632101454e-05,0.00015903075109235942,0.014593124389648438,0.14776992797851562
12,1.0142868632101454e-05,0.00015903075109235942,0.014593124389648438,0.14776992797851562
13,1.0142868632101454e-05,0.00015903075109235942,0.009313583374023438,0.14776992797851562
14,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.14776992797851562
15,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.12633705139160156
16,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.12633705139160156
17,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.058460235595703125
18,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.020296096801757812
19,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.020296096801757812
20,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.020296096801757812
21,3.159479547321098e-06,0.00015903075109235942,0.009313583374023438,0.020296096801757812
22,3.159479547321098e-06,0.00015903075109235942,0.0049495697021484375,0.020296096801757812
23,4.93240634114045e-07,0.00015903075109235942,0.001682281494140625,0.020296096801757812
24,4.93240634114045e-07,8.755956315553703e-08,0.001682281494140625,0.020296096801757812
25,4.93240634114045e-07,8.755956315553703e-08,0.001682281494140625,0.020296096801757812
26,4.93240634114045e-07,8.755956315553703e-08,0.001682281494140625,0.020296096801757812
27,4.93240634114045e-07,8.755956315553703e-08,0.001682281494140625,0.020296096801757812
28,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
29,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
30,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
31,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
32,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
33,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
34,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
35,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
36,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
37,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
38,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
39,4.93240634114045e-07,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
40,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
41,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
42,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
43,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
44,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
45,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
46,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
47,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
48,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
49,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
50,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
51,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
52,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
53,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
54,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
55,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
56,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
57,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
58,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
59,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
60,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
61,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
62,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
63,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
64,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
65,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
66,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
67,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
68,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
69,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
