seed,delta,frac_central,frac_descending,frac_optic,frac_visual_projection,frac_visual_centrifugal,frac_sensory,frac_ascending,frac_motor,frac_endocrine,frac_sensory_ascending
9000,0.884,0.5986666666666667,0.16233333333333333,0.07166666666666667,0.06566666666666666,0.036333333333333336,0.018333333333333333,0.015666666666666666,0.013333333333333334,0.011333333333333334,0.006666666666666667
9001,-0.219,0.41333333333333333,0.10933333333333334,0.313,0.07,0.03266666666666666,0.03766666666666667,0.007,0.004666666666666667,0.011333333333333334,0.001
9002,0.25,0.3253333333333333,0.033,0.013,0.004,0.002,0.599,0.01,0.002,0.011333333333333334,0.0003333333333333333
9003,0.25,0.601,0.15733333333333333,0.073,0.06433333333333334,0.035666666666666666,0.026333333333333334,0.014666666666666666,0.012666666666666666,0.011333333333333334,0.0036666666666666666
9004,-0.25,0.3383333333333333,0.024333333333333332,0.0016666666666666668,0.0023333333333333335,0.002,0.6136666666666667,0.004333333333333333,0.0016666666666666668,0.011333333333333334,0.0003333333333333333
9005,1.0,0.595,0.16033333333333333,0.07566666666666666,0.066,0.036,0.018333333333333333,0.01633333333333333,0.013333333333333334,0.011333333333333334,0.007666666666666666
9006,0.375,0.40166666666666667,0.02266666666666667,0.01,0.0023333333333333335,0.0023333333333333335,0.5446666666666666,0.0033333333333333335,0.0013333333333333333,0.011333333333333334,0.0003333333333333333
9007,0.75,0.4826666666666667,0.11633333333333333,0.23366666666666666,0.08533333333333333,0.032,0.018,0.011,0.007,0.011333333333333334,0.0026666666666666666
9008,0.625,0.36,0.02266666666666667,0.024666666666666667,0.0023333333333333335,0.0023333333333333335,0.5696666666666667,0.004666666666666667,0.0016666666666666668,0.011333333333333334,0.0006666666666666666
9009,0.375,0.5793333333333334,0.154,0.07133333333333333,0.062,0.035333333333333335,0.03233333333333333,0.024,0.013666666666666667,0.011333333333333334,0.016666666666666666
9010,1.0,0.502,0.07933333333333334,0.16733333333333333,0.07933333333333334,0.023333333333333334,0.087,0.04066666666666666,0.004666666666666667,0.011333333333333334,0.005
